Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-17,162.25,179.0,161.37,166.83,196030557,1031196,190.1,88503070
2025-09-18,171.5,174.0,167.4,170.16,62784183,291357,215.49,15303010
2025-09-19,170.0,187.5,167.56,184.81,128767459,522389,246.5,20666541
