Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-18,49.65,56.69,49.65,51.37,1367904,10871,125.83,567096
2025-09-19,52.04,54.9,50.0,50.48,585743,5197,112.71,267111
