Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-17,188.5,191.0,182.6,184.88,23282861,155356,149.87,13115935
2025-09-18,187.0,193.99,185.5,189.68,12782002,79465,160.85,3634651
2025-09-19,189.39,192.3,187.62,189.62,3233366,21391,151.16,1306617
