Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-17,54.0,54.0,51.3,51.3,224000,57,3929.82,224000
2025-09-18,48.75,48.75,48.75,48.75,12000,6,2000.0,12000
2025-09-19,46.35,46.35,46.35,46.35,92000,11,8363.64,92000
