Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-27,787.65,788.7,776.4,780.35,75701,EQ,5506,13.75,37808
2026-03-02,773.1,789.0,750.8,773.4,331860,EQ,22584,14.69,161029
2026-03-04,762.0,769.8,751.2,763.4,126682,EQ,14087,8.99,63248
2026-03-05,761.0,769.4,732.05,751.55,302368,EQ,20482,14.76,160702
2026-03-06,758.0,776.05,755.15,765.85,66949,EQ,7293,9.18,26479
2026-03-04,762.0,769.8,751.2,763.4,126682,EQ,14087,8.99,63248
2026-03-05,761.0,769.4,732.05,751.55,302368,EQ,20482,14.76,160702
2026-03-06,758.0,776.05,755.15,765.85,66949,EQ,7293,9.18,26479
2026-03-09,751.0,781.0,732.3,770.5,130125,EQ,14452,9.0,59198
2026-03-10,776.8,797.5,772.25,788.9,152776,EQ,12858,11.88,83417
2026-03-11,795.0,797.9,775.6,781.55,58499,EQ,5530,10.58,24716
2026-03-12,778.0,820.4,768.95,799.15,173593,EQ,13370,12.98,69992
2026-03-13,799.0,799.0,759.5,768.8,169219,EQ,14761,11.46,73390
2026-03-16,767.7,784.2,744.0,747.6,166039,EQ,17120,9.7,68406
2026-03-17,750.0,767.85,746.0,752.2,93639,EQ,12677,7.39,32374
2026-03-18,752.0,775.35,752.0,767.9,96064,EQ,13865,6.93,48861
2026-03-19,751.6,772.5,747.75,757.45,82510,EQ,10412,7.92,39187
2026-03-20,760.6,788.6,758.3,782.95,84344,EQ,12582,6.7,37552
