Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-09,24.68,25.0,23.71,24.1,9110,EQ,69,132.03,9008
2026-03-10,24.34,24.37,24.09,24.35,11037,EQ,28,394.18,10483
2026-03-11,24.39,24.39,23.92,23.92,8942,EQ,55,162.58,8720
2026-03-12,23.7,23.86,23.53,23.68,2740,EQ,36,76.11,2466
2026-03-13,23.68,23.68,23.2,23.23,11455,EQ,76,150.72,7131
2026-03-16,23.31,23.5,23.1,23.47,2785,EQ,33,84.39,2779
2026-03-17,23.5,23.7,23.39,23.64,17075,EQ,43,397.09,16007
2026-03-18,23.8,23.9,23.62,23.83,3518,EQ,30,117.27,2776
2026-03-19,23.4,23.44,23.07,23.28,24288,EQ,82,296.2,20851
2026-03-20,23.29,23.38,23.14,23.21,5795,EQ,42,137.98,4084
