Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-30,388.5,388.5,320.5,323.5,9257897,EQ,115414,80.21,4771799
2025-10-01,323.45,334.0,322.0,332.45,1182520,EQ,21701,54.49,384516
2025-10-03,332.45,342.0,330.2,334.45,971242,EQ,,,
