Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-14,389.0,409.0,371.55,394.45,146856,EQ,2262,64.92,90290
2025-11-17,399.8,405.85,391.3,395.65,41237,EQ,2070,19.92,19163
2025-11-18,397.05,404.35,376.2,384.4,39683,EQ,714,55.58,28946
2025-11-19,389.05,389.5,375.95,376.9,32580,EQ,672,48.48,27720
2025-11-20,386.85,387.0,378.85,381.3,34731,EQ,504,68.91,28260
2025-11-21,374.95,385.95,374.1,378.8,16325,EQ,1268,12.87,8084
2025-11-24,385.0,386.5,360.0,363.75,11121,EQ,609,18.26,6790
2025-11-25,368.0,374.0,363.0,372.9,21192,EQ,418,50.7,17292
2025-11-26,375.95,375.95,366.3,370.35,4471,EQ,389,11.49,2350
2025-11-27,368.5,375.0,362.05,364.25,7589,EQ,401,18.93,3325
2025-11-28,368.1,368.1,361.0,362.3,3305,EQ,249,13.27,2083
2025-12-01,364.15,365.5,355.0,356.55,3749,EQ,316,11.86,1712
2025-12-02,351.95,358.35,335.35,343.65,52034,EQ,886,58.73,46945
2025-12-03,323.35,340.9,318.05,324.75,10594,EQ,795,13.33,6362
2025-12-04,348.8,348.8,327.9,332.0,10214,EQ,671,15.22,6074
2025-12-05,340.45,347.2,328.0,334.6,8260,EQ,540,15.3,2420
2025-12-08,334.25,334.25,304.5,315.2,4634,EQ,341,13.59,1869
2025-12-09,330.0,333.0,308.15,325.8,7066,EQ,408,17.32,4707
