Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-24,104.9,105.0,99.65,99.65,5353619,BE,49624,107.88,5353619
2025-09-25,94.66,94.7,94.66,94.66,466944,BE,3760,124.19,466944
2025-09-26,89.92,89.92,89.92,89.92,161205,BE,2353,68.51,1612052025-09-29,85.42,85.42,85.42,85.42,87822,BE,1623,54.11,87822
2025-09-30,81.14,83.71,81.14,81.14,1535140,BE,7838,195.86,1535140
2025-10-01,77.08,83.9,77.08,82.67,1203392,BE,7543,159.54,1203392
2025-10-03,82.0,82.0,79.1,79.81,497184,BE,,,
