Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-22,366.7,385.0,366.7,385.0,355800,ST,342,1040.35,355800
2025-09-23,404.25,404.25,404.25,404.25,75600,ST,72,1050.0,75600
2025-09-24,424.45,424.45,424.45,424.45,58800,ST,59,996.61,58800
2025-09-25,445.65,445.65,445.65,445.65,47400,ST,53,894.34,47400
2025-09-26,467.9,467.9,467.9,467.9,519600,ST,251,2070.12,5196002025-09-29,491.25,491.25,491.25,491.25,259800,ST,129,2013.95,259800
2025-09-30,515.8,515.8,475.65,515.3,957000,ST,1003,954.14,878400
2025-10-01,491.0,541.05,491.0,541.05,318000,ST,414,768.12,274200
2025-10-03,568.1,568.1,552.0,568.1,88800,ST,,,
