Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-28,nan,nan,nan,17456.75,1202558038.0,26.68,,,,
2026-01-29,nan,nan,nan,17507.74,1198317018.0,26.64,,,,
2026-01-30,nan,nan,nan,17708.39,1337067926.0,26.88,,,,
2026-02-01,nan,nan,nan,17363.56,1033290376.0,26.16,,,,
2026-02-02,nan,nan,nan,17439.49,900372641.0,26.26,,,,
2026-02-03,nan,nan,nan,17985.11,1248099050.0,27.08,,,,
2026-02-04,nan,nan,nan,18144.95,1329765348.0,26.61,,,,
2026-02-05,nan,nan,nan,17960.1,1026786853.0,26.28,,,,
