Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-29,172.1,180.7,165.15,180.7,3156000,ST,1602,1970.04,31510002026-02-01,177.8,177.85,168.95,168.95,172000,ST,97,1773.2,167000
2026-02-02,164.0,166.0,160.55,160.55,127000,ST,72,1763.89,125000
2026-02-03,167.45,168.55,158.0,162.95,149000,ST,42,3547.62,145000
2026-02-04,156.2,171.05,156.15,170.75,87000,ST,67,1298.51,85000
2026-02-05,172.0,179.25,172.0,173.9,72000,ST,53,1358.49,69000
